frameNumber,navy blue star,violet star,brown star,pink star,sky blue star,orange star,yellow star,yellow heart,orange circle,violet circle,brown circle,violet heart,green star,green heart,green circle,pink circle
7500,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
7530,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7560,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7590,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
7620,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
7650,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
7680,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
7710,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7740,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
7770,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
7800,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
